dataset,metric,cardinality,build_time,num_queries,kind,val,algorithm,throughput,linear_throughput
silva-SSU-Ref,levenshtein,1000,65.0004,100,knn,10,GreedySieve,3.272247,3.1229072
silva-SSU-Ref,levenshtein,2224640,255655.97,100,rnn,4500,Clustered,0.029804977,-1.0
silva-SSU-Ref,levenshtein,250000,24400.256,100,rnn,4500,Clustered,0.12887685,-1.0
silva-SSU-Ref,levenshtein,10000,728.0397,100,knn,10,Sieve,2.7822387,-1.0
silva-SSU-Ref,levenshtein,5000,361.46384,100,knn,100,SieveSepCenter,0.7236547,0.6326481
silva-SSU-Ref,levenshtein,1000,65.0004,100,knn,100,Sieve,12.023782,3.1229072
silva-SSU-Ref,levenshtein,1000,65.0004,100,knn,100,RepeatedRnn,1.8429104,3.1229072
silva-SSU-Ref,levenshtein,10000,728.0397,100,rnn,18000,Clustered,1.0768492,-1.0
silva-SSU-Ref,levenshtein,2000,147.08649,100,knn,100,GreedySieve,1.2365267,1.578522
silva-SSU-Ref,levenshtein,2000,147.08649,100,knn,10,SieveSepCenter,1.34303,1.578522
silva-SSU-Ref,levenshtein,10000,728.0397,100,rnn,45000,Clustered,1.0493134,-1.0
silva-SSU-Ref,levenshtein,50000,4062.7764,100,knn,100,SieveSepCenter,0.11124967,-1.0
silva-SSU-Ref,levenshtein,2000,147.08649,100,rnn,18000,Clustered,3.1042175,1.5831268
silva-SSU-Ref,levenshtein,10000,728.0397,100,knn,10,GreedySieve,0.666727,-1.0
silva-SSU-Ref,levenshtein,10000,728.0397,100,knn,100,GreedySieve,0.38953537,-1.0
silva-SSU-Ref,levenshtein,100000,8888.481,100,knn,100,SieveSepCenter,0.066917926,-1.0
silva-SSU-Ref,levenshtein,2000,147.08649,100,rnn,45000,Clustered,3.0999103,1.5831268
silva-SSU-Ref,levenshtein,100000,8888.481,100,rnn,4500,Clustered,0.2552851,-1.0
silva-SSU-Ref,levenshtein,50000,4062.7764,100,knn,10,SieveSepCenter,0.16029598,-1.0
