dataset,scale,metric,cardinality,dimensionality,index_build_time,k,algorithm,throughput,recall
sift,,euclidean,1000000,128,6.813441,10,GreedySieve,44.571674,1.0
sift,,euclidean,1000000,128,6.813441,10,Sieve,196.2273,1.0
sift,,euclidean,1000000,128,6.813441,10,SieveSepCenter,185.17111,1.0
sift,,euclidean,1000000,128,6.813441,10,RepeatedRnn,54.365353,1.0
sift,,euclidean,1000000,128,6.813441,10,Linear,551.89386,1.0
glove-25,16.0,cosine,18936224,25,141.10068,100,GreedySieve,369.0602,1.0
glove-25,16.0,cosine,18936224,25,141.10068,100,Sieve,97.90399,1.0
glove-25,16.0,cosine,18936224,25,141.10068,100,SieveSepCenter,72.151505,1.0
glove-25,16.0,cosine,18936224,25,141.10068,100,RepeatedRnn,355.62204,1.0
glove-25,16.0,cosine,18936224,25,141.10068,100,Linear,30.57896,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,10,GreedySieve,3.3307908,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,10,Sieve,16.254225,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,10,SieveSepCenter,16.707064,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,10,RepeatedRnn,1.7878885,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,10,Linear,137.23631,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,100,GreedySieve,3.33862,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,100,Sieve,22.36124,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,100,SieveSepCenter,22.688448,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,100,RepeatedRnn,1.788895,1.0
random-1000000-128,4.0,euclidean,4000000,128,31.189417,100,Linear,143.79904,1.0
fashion-mnist,,euclidean,60000,784,0.5642963,100,GreedySieve,793.7974,1.0
fashion-mnist,,euclidean,60000,784,0.5642963,100,Sieve,2197.614,1.0
