dataset,scale,metric,cardinality,dimensionality,index_build_time,tuning_time,k,algorithm,throughput,recall

fashion-mnist,1.0,euclidean,60000,784,0.2642102929967223,25.948449147996143,10,faiss-ivf-flat,2009.4834403651926,1.0
fashion-mnist,1.0,euclidean,60000,784,0.08553741000650916,0.0,10,faiss-flat,212.60227849014214,1.0
fashion-mnist,1.0,euclidean,60000,784,4.092495836986927,28.428790056001162,10,annoy,2191.849363768266,0.9497272727272765
fashion-mnist,,euclidean,60000,784,0.5642963,0.0,10,SieveSepCenter,2135.6636,1.0

fashion-mnist,2.0,euclidean,120000,784,0.5368499920004979,49.16069632599829,10,faiss-ivf-flat,939.1690250303774,0.999909090909091
fashion-mnist,2.0,euclidean,120000,784,0.18333183000504505,0.0,10,faiss-flat,106.37215344331803,1.0
fashion-mnist,2.0,euclidean,120000,784,8.630566487001488,44.5398904330068,10,annoy,2118.513407142721,0.9266363636363616
fashion-mnist,2.0,euclidean,120000,784,1.081093,0.0,10,SieveSepCenter,1089.524,1.0

fashion-mnist,4.0,euclidean,240000,784,0.36510925300535746,0.0,10,faiss-flat,53.07712147654723,1.0
fashion-mnist,4.0,euclidean,240000,784,1.063555268003256,55.05724769399967,10,faiss-ivf-flat,461.01581792409644,0.996833333333333
fashion-mnist,4.0,euclidean,240000,784,17.83175687699986,76.70075628400082,10,annoy,2043.628269798294,0.8976666666666671
fashion-mnist,4.0,euclidean,240000,784,2.338916,0.0,10,GreedySieve,982.1171,1.0

fashion-mnist,8.0,euclidean,480000,784,0.6996858719940064,0.0,10,faiss-flat,26.5772702006932,1.0
fashion-mnist,8.0,euclidean,480000,784,2.169186148996232,67.21060695000051,10,faiss-ivf-flat,225.8270998241905,0.9953333333333334
fashion-mnist,8.0,euclidean,480000,784,36.43917550200422,142.7876679559995,10,annoy,1925.592808554596,0.8573333333333337
fashion-mnist,8.0,euclidean,480000,784,4.300076,0.0,10,SieveSepCenter,1061.471,1.0

fashion-mnist,16.0,euclidean,960000,784,1.359935503001907,0.0,10,faiss-flat,13.292248998797975,1.0
fashion-mnist,16.0,euclidean,960000,784,76.00162081500457,275.1326463169971,10,annoy,1841.862831151386,0.8615000000000004
fashion-mnist,16.0,euclidean,960000,784,4.321609869992244,85.27859999600332,10,faiss-ivf-flat,116.96014777041039,0.9910000000000003
fashion-mnist,16.0,euclidean,960000,784,9.074416,0.0,10,SieveSepCenter,1038.9017,1.0


fashion-mnist,32.0,euclidean,1920000,784,8.727249069008394,75.34739712199371,10,faiss-ivf-flat,59.147867695297975,0.9850000000000003
fashion-mnist,32.0,euclidean,1920000,784,2.6887990679970244,0.0,10,faiss-flat,6.647091826747307,1.0
fashion-mnist,32.0,euclidean,1920000,784,154.4499710270029,541.2479474889988,10,annoy,1850.9426948273756,0.775
fashion-mnist,32.0,euclidean,1920000,784,17.773115,0.0,10,SieveSepCenter,980.6028,1.0

fashion-mnist,64.0,euclidean,3840000,784,17.41192228499858,121.07510318300046,10,faiss-ivf-flat,26.06838213302654,0.9680000000000005
fashion-mnist,64.0,euclidean,3840000,784,5.3231247660005465,0.0,10,faiss-flat,3.323591183417182,1.0
fashion-mnist,64.0,euclidean,3840000,784,317.90301983000245,1091.733393995004,10,annoy,1787.142345549277,0.677
fashion-mnist,64.0,euclidean,3840000,784,35.2861,0.0,10,SieveSepCenter,946.6947,1.0

fashion-mnist,128.0,euclidean,7680000,784,10.529044417999103,0.0,10,faiss-flat,1.661720101528566,1.0
fashion-mnist,128.0,euclidean,7680000,784,34.8205140499922,187.39782372700574,10,faiss-ivf-flat,13.265281237855596,0.9640000000000003
fashion-mnist,128.0,euclidean,7680000,784,649.9127309300093,2183.1233102209953,10,annoy,1659.6601516072285,0.5379999999999998
fashion-mnist,128.0,euclidean,7680000,784,78.80216,0.0,10,SieveSepCenter,876.4436,1.0

fashion-mnist,256.0,euclidean,15360000,784,20.83321076798893,0.0,10,faiss-flat,0.8308014693448448,1.0
fashion-mnist,256.0,euclidean,15360000,784,69.88910733300145,306.5326863890077,10,faiss-ivf-flat,6.650268400264889,0.9620000000000003
fashion-mnist,256.0,euclidean,15360000,784,1333.1305041860032,4429.272418580993,10,annoy,1597.263597893602,0.5919999999999997
fashion-mnist,256.0,euclidean,15360000,784,150.60301,0.0,10,SieveSepCenter,887.8637,1.0


fashion-mnist,512.0,euclidean,30720000,784,41.26502252501086,0.0,10,faiss-flat,0.4155440328555756,1.0
fashion-mnist,512.0,euclidean,30720000,784,138.06867598398821,572.7174812820012,10,faiss-ivf-flat,3.5627117808344826,0.9490000000000003
fashion-mnist,512.0,euclidean,30720000,784,2801.201595131017,9050.251360354,10,annoy,1826.3624959181184,0.5809999999999996
fashion-mnist,512.0,euclidean,30720000,784,326.1219,0.0,10,GreedySieve,826.7318,1.0












